"G6-CD4-CD40L","G7-gdT-TRDC"
"S100A4","TYROBP"
"LTB","FCER1G"
"CD40LG","KLRB1"
"IL7R","TRDC"
"TIMP1","CCL3"
"TNFRSF4","CMC1"
"CD52","GSTP1"
"GSTK1","CTSW"
"OSM","IL2RB"
"SPOCK2","FCGR3A"
"FXYD5","KLRD1"
"CORO1B","SRGN"
"S100A6","PRF1"
"FTH1","XCL2"
"IL32","GNLY"
"S100A11","CEBPD"
"MIIP","HOPX"
"IL9R","NKG7"
"CTSH","CCL4L2"
"GATA3","KIR3DL2"
"PHLDA1","CST3"
"CAPG","KIR2DL4"
"CD4","XCL1"
"DDIT4","CST7"
"CD3D","SH2D1B"
"PRDX1","PTGDR"
"MOSPD3","GZMK"
"ICAM2","KLRC1"
"ARL4A","GZMB"
"EEF2","CCL4"
"PLP2","CD63"
"CD44","CLIC3"
"IL2RA","CD7"
"EMP3","CD74"
"TNFRSF18","TNFRSF18"
"KLF2","IFITM2"
"TXNIP","CCL5"
"PRNP","SH2D1A"
"RBPJ","GNPTAB"
"EEF1A1","BST2"
"IL13","NCR3"
"IL10RA","NCAM1"
"SOS1","LAT2"
"CMTM6","HLA-DRB1"
"S1PR4","IFITM3"
"TRAT1","EOMES"
"SLAMF1","XBP1"
"RPL10","AOAH"
"TMEM14C","CD247"
"RPL12","MT-ND2"
